time,dgfs,darome,dicon7,dir,temp
2025-11-30 08:00:00,1.7,2.2,0.1,87,9.5
2025-11-30 09:00:00,2.6,4.0,0.9,150,10.4
2025-11-30 11:00:00,1.7,0.7,3.2,56,11.2
2025-11-30 12:00:00,1.7,1.9,1.3,326,11.5
2025-12-02 01:00:00,1.7,1.4,0.8,258,8.0
2025-12-02 04:00:00,2.4,1.5,0.9,241,8.9
2025-12-02 07:00:00,2.9,0.7,1.3,72,7.6
2025-12-02 10:00:00,0.9,0.5,0.9,246,11.2
2025-11-30 14:00:00,0.5,1.0,0.5,248,12.7
2025-11-30 15:00:00,2.2,1.3,0.5,51,11.2
2025-11-30 17:00:00,1.2,1.5,1.2,76,7.8
2025-11-30 18:00:00,0.2,1.1,1.7,78,7.7
2025-11-30 20:00:00,1.2,0.8,2.4,133,8.3
2025-11-30 21:00:00,1.1,0.2,1.4,65,7.1
2025-11-30 23:00:00,1.0,0.1,1.2,61,6.8
2025-12-01 00:00:00,2.2,0.9,1.9,93,5.5
2025-12-01 02:00:00,2.2,1.5,2.4,113,5.3
2025-12-01 03:00:00,0.3,0.1,1.3,58,5.8
2025-12-01 05:00:00,1.6,1.0,2.0,134,6.1
2025-12-01 06:00:00,1.5,0.0,1.0,208,5.2
2025-12-03 04:00:00,3.4,0.9,2.7,11,6.5
2025-12-03 07:00:00,2.6,0.3,1.6,104,4.3
2025-12-03 10:00:00,0.4,2.2,0.7,217,9.7
2025-12-01 17:00:00,2.7,1.9,2.3,240,8.1
2025-12-01 18:00:00,1.2,0.2,0.1,266,8.3
2025-12-01 20:00:00,3.6,1.6,1.9,203,6.1
2025-12-01 21:00:00,3.3,1.1,2.0,268,6.9
2025-12-01 23:00:00,0.7,2.0,0.6,248,7.8
2025-12-02 00:00:00,1.1,3.0,0.4,242,7.8
2025-12-02 02:00:00,1.8,0.8,0.6,243,8.3
2025-12-02 03:00:00,1.5,0.9,0.4,259,8.5
2025-12-02 05:00:00,3.0,0.6,1.6,263,9.1
2025-12-02 06:00:00,4.0,0.2,2.4,84,8.2
2025-12-02 08:00:00,3.5,0.4,2.5,61,9.1
2025-12-02 09:00:00,3.1,1.0,2.6,216,11.1
2025-12-02 11:00:00,0.2,1.0,1.8,241,11.4
2025-12-02 12:00:00,0.3,0.2,1.5,216,11.0
2025-12-03 13:00:00,1.7,0.3,1.9,248,12.0
2025-12-03 16:00:00,4.5,1.7,3.2,252,9.1
2025-12-03 19:00:00,4.2,4.1,1.8,68,5.5
2025-12-03 22:00:00,3.5,0.8,2.2,82,4.5
2025-12-04 01:00:00,1.8,0.5,2.0,95,4.0
2025-12-04 04:00:00,3.0,1.6,1.8,181,5.8
2025-12-04 07:00:00,1.6,1.3,1.1,255,4.8
2025-12-04 10:00:00,2.9,1.8,0.3,260,7.4
2025-12-03 02:00:00,1.1,0.1,1.3,83,6.8
2025-12-03 03:00:00,2.6,1.0,2.4,84,6.1
2025-12-03 05:00:00,4.0,1.0,2.6,74,5.4
2025-12-03 06:00:00,3.3,0.1,1.6,87,4.4
2025-12-03 08:00:00,2.6,0.4,1.4,101,5.1
2025-12-03 09:00:00,2.5,0.4,1.2,283,8.6
2025-12-03 11:00:00,1.4,1.7,1.7,234,10.5
2025-12-03 12:00:00,0.9,0.4,1.0,245,11.1
2025-12-03 14:00:00,3.4,2.7,2.9,238,11.9
2025-12-03 15:00:00,5.1,1.6,3.6,254,11.4
2025-12-03 17:00:00,6.3,3.7,2.8,298,7.5
2025-12-03 18:00:00,4.5,2.8,1.6,69,6.8
2025-12-03 20:00:00,3.8,0.8,2.1,78,5.1
2025-12-03 21:00:00,3.6,0.1,2.3,74,5.3
2025-12-03 23:00:00,1.8,0.5,1.9,70,4.6
2025-12-04 00:00:00,1.3,0.5,1.9,76,4.6
2025-12-04 02:00:00,2.6,0.3,1.8,192,4.8
2025-12-04 03:00:00,2.4,3.9,2.0,249,5.0
2025-12-04 05:00:00,2.4,2.2,1.7,114,5.1
2025-12-04 13:00:00,2.7,3.4,2.3,272,8.4
2025-12-04 16:00:00,2.8,1.9,1.4,98,6.1
2025-12-04 19:00:00,1.3,0.6,1.3,97,4.4
2025-12-04 22:00:00,2.8,0.9,1.0,263,5.4
2025-12-05 01:00:00,1.6,2.0,0.1,260,5.9
2025-12-05 04:00:00,4.0,5.0,1.9,80,3.9
2025-12-05 07:00:00,2.8,3.4,1.4,70,4.1
2025-12-05 10:00:00,0.7,1.1,0.4,209,8.9
2025-12-05 13:00:00,0.3,0.8,0.1,202,11.9
2025-12-05 16:00:00,2.0,2.1,1.4,136,8.0
2025-12-05 19:00:00,1.5,0.2,0.3,165,7.9
2025-12-05 22:00:00,3.1,0.8,0.8,154,7.0
2025-12-04 06:00:00,0.5,1.8,1.1,232,5.2
2025-12-04 08:00:00,1.6,2.2,0.0,265,6.5
2025-12-04 09:00:00,0.3,0.3,1.9,249,8.2
2025-12-06 01:00:00,2.7,1.0,1.2,250,7.8
2025-12-06 04:00:00,3.5,3.2,2.2,311,8.7
2025-12-04 11:00:00,1.8,0.8,1.7,239,7.7
2025-12-04 12:00:00,1.7,0.8,0.8,266,8.1
2025-12-04 14:00:00,4.2,5.1,4.6,294,7.1
2025-12-04 15:00:00,4.9,3.8,2.8,73,6.3
2025-12-06 07:00:00,2.1,2.6,0.4,266,10.7
2025-12-06 10:00:00,1.4,5.2,1.4,263,14.5
2025-12-04 17:00:00,2.3,1.6,0.1,75,4.9
2025-12-04 18:00:00,1.3,2.9,0.6,74,4.0
2025-12-04 20:00:00,1.0,0.2,1.8,62,4.7
2025-12-04 21:00:00,3.6,0.4,1.1,111,4.4
2025-12-04 23:00:00,4.4,0.8,1.8,113,4.4
2025-12-05 00:00:00,2.6,1.5,0.3,261,5.7
2025-12-05 02:00:00,4.2,2.8,2.1,291,5.0
2025-12-05 03:00:00,4.3,2.8,2.7,277,5.0
2025-12-05 05:00:00,4.0,2.7,1.5,74,4.0
2025-12-06 13:00:00,1.3,2.1,0.3,329,17.0
2025-12-06 16:00:00,1.3,0.1,0.5,89,13.5
